row_index,pais,model,judge_label,judge_prompt_version,judge_run_id
192,panama,Claude,alucinacion,v2_fixed_system_prompt,2
193,panama,Claude,correcta,v2_fixed_system_prompt,2
194,panama,Claude,parcial,v2_fixed_system_prompt,2
195,paraguay,Claude,parcial,v2_fixed_system_prompt,2
196,paraguay,Claude,correcta,v2_fixed_system_prompt,2
197,paraguay,Claude,correcta,v2_fixed_system_prompt,2
198,paraguay,Claude,alucinacion,v2_fixed_system_prompt,2
199,paraguay,Claude,parcial,v2_fixed_system_prompt,2
200,paraguay,Claude,parcial,v2_fixed_system_prompt,2
201,paraguay,Claude,parcial,v2_fixed_system_prompt,2
202,paraguay,Claude,alucinacion,v2_fixed_system_prompt,2
203,paraguay,Claude,alucinacion,v2_fixed_system_prompt,2
204,paraguay,Claude,alucinacion,v2_fixed_system_prompt,2
205,paraguay,Claude,parcial,v2_fixed_system_prompt,2
206,paraguay,Claude,abstencion,v2_fixed_system_prompt,2
207,paraguay,Claude,abstencion,v2_fixed_system_prompt,2
208,paraguay,Claude,parcial,v2_fixed_system_prompt,2
209,paraguay,Claude,abstencion,v2_fixed_system_prompt,2
210,peru,Claude,correcta,v2_fixed_system_prompt,2
211,peru,Claude,alucinacion,v2_fixed_system_prompt,2
212,peru,Claude,correcta,v2_fixed_system_prompt,2
213,peru,Claude,abstencion,v2_fixed_system_prompt,2
214,peru,Claude,correcta,v2_fixed_system_prompt,2
215,peru,Claude,alucinacion,v2_fixed_system_prompt,2
216,peru,Claude,alucinacion,v2_fixed_system_prompt,2
217,peru,Claude,correcta,v2_fixed_system_prompt,2
218,peru,Claude,parcial,v2_fixed_system_prompt,2
219,peru,Claude,correcta,v2_fixed_system_prompt,2
220,peru,Claude,correcta,v2_fixed_system_prompt,2
221,peru,Claude,correcta,v2_fixed_system_prompt,2
222,peru,Claude,correcta,v2_fixed_system_prompt,2
223,peru,Claude,correcta,v2_fixed_system_prompt,2
224,peru,Claude,parcial,v2_fixed_system_prompt,2
225,republica dominicana,Claude,abstencion,v2_fixed_system_prompt,2
226,republica dominicana,Claude,parcial,v2_fixed_system_prompt,2
227,republica dominicana,Claude,abstencion,v2_fixed_system_prompt,2
228,republica dominicana,Claude,parcial,v2_fixed_system_prompt,2
229,republica dominicana,Claude,correcta,v2_fixed_system_prompt,2
230,republica dominicana,Claude,alucinacion,v2_fixed_system_prompt,2
231,republica dominicana,Claude,alucinacion,v2_fixed_system_prompt,2
232,republica dominicana,Claude,parcial,v2_fixed_system_prompt,2
233,republica dominicana,Claude,parcial,v2_fixed_system_prompt,2
234,republica dominicana,Claude,alucinacion,v2_fixed_system_prompt,2
235,republica dominicana,Claude,parcial,v2_fixed_system_prompt,2
236,republica dominicana,Claude,correcta,v2_fixed_system_prompt,2
237,republica dominicana,Claude,parcial,v2_fixed_system_prompt,2
238,republica dominicana,Claude,correcta,v2_fixed_system_prompt,2
239,republica dominicana,Claude,parcial,v2_fixed_system_prompt,2
240,uruguay,Claude,parcial,v2_fixed_system_prompt,2
241,uruguay,Claude,alucinacion,v2_fixed_system_prompt,2
242,uruguay,Claude,correcta,v2_fixed_system_prompt,2
243,uruguay,Claude,parcial,v2_fixed_system_prompt,2
244,uruguay,Claude,parcial,v2_fixed_system_prompt,2
245,uruguay,Claude,parcial,v2_fixed_system_prompt,2
246,uruguay,Claude,parcial,v2_fixed_system_prompt,2
247,uruguay,Claude,correcta,v2_fixed_system_prompt,2
248,uruguay,Claude,parcial,v2_fixed_system_prompt,2
249,uruguay,Claude,abstencion,v2_fixed_system_prompt,2
250,uruguay,Claude,alucinacion,v2_fixed_system_prompt,2
251,uruguay,Claude,parcial,v2_fixed_system_prompt,2
252,uruguay,Claude,abstencion,v2_fixed_system_prompt,2
253,uruguay,Claude,abstencion,v2_fixed_system_prompt,2
254,uruguay,Claude,alucinacion,v2_fixed_system_prompt,2
255,venezuela,Claude,correcta,v2_fixed_system_prompt,2
256,venezuela,Claude,correcta,v2_fixed_system_prompt,2
257,venezuela,Claude,parcial,v2_fixed_system_prompt,2
258,venezuela,Claude,abstencion,v2_fixed_system_prompt,2
259,venezuela,Claude,parcial,v2_fixed_system_prompt,2
260,venezuela,Claude,alucinacion,v2_fixed_system_prompt,2
261,venezuela,Claude,alucinacion,v2_fixed_system_prompt,2
262,venezuela,Claude,correcta,v2_fixed_system_prompt,2
263,venezuela,Claude,alucinacion,v2_fixed_system_prompt,2
264,venezuela,Claude,alucinacion,v2_fixed_system_prompt,2
265,venezuela,Claude,abstencion,v2_fixed_system_prompt,2
266,venezuela,Claude,alucinacion,v2_fixed_system_prompt,2
267,venezuela,Claude,alucinacion,v2_fixed_system_prompt,2
268,venezuela,Claude,abstencion,v2_fixed_system_prompt,2
269,venezuela,Claude,abstencion,v2_fixed_system_prompt,2
