Entity,Country,Category,Difficulty,Question,Answer,pais,interseccion,response_GPT,note_GPT,response_Claude,note_Claude,similarity_GPT,error_GPT,similarity_Claude,error_Claude,y_true
Epiphyllum grandilobum,Costa Rica,flora,FÁCIL,¿Qué tipo de planta es Epiphyllum grandilobum?,una especie de planta suculenta,costa rica,costa rica_flora_FÁCIL,"Epiphyllum grandilobum es una planta suculenta de la familia Cactaceae, conocida comúnmente como ""cactus orquídea"". Es una planta epífita que crece en los árboles y se caracteriza por sus grandes flores.",,"Epiphyllum grandilobum es un **cactus epifita**, es decir, una planta suculenta que crece naturalmente sobre otros árboles en las selvas tropicales. Se caracteriza por sus tallos planos y sin espinas, y produce flores grandes y vistosas, generalmente blancas o rosadas, que florecen durante la noche.",,0.5560222864151001,0.4439777135848999,0.5897312164306641,0.41026878356933594,1.0
ulmus mexicana,costa rica,flora,INTERMEDIA,¿En qué tipo de hábitat se encuentra mayormente Ulmus mexicana?,mayormente en bosques nublados tropicales,costa rica,costa rica_flora_INTERMEDIA,"Ulmus mexicana, o el olmo mexicano, se encuentra mayormente en bosques templados y zonas de valles, especialmente en áreas húmedas y ribereñas.",,"# Ulmus mexicana

**Ulmus mexicana** se encuentra mayormente en:

- **Bosques de encino** (roble)
- **Bosques mixtos** de montaña
- **Cañadas y barrancas** con humedad
- **Zonas montañosas** de México

Prefiere altitudes entre 1,500 y 2,500 metros, en regiones con clima templado y suelos húmedos. Es típico de las sierras de México central y norte.",,0.4106404185295105,0.5893595814704895,0.40325725078582764,0.5967427492141724,1.0
Riftia pachyptila,Costa Rica,geography,DIFÍCIL,¿Cuál es la importancia del descubrimiento del Riftia pachyptila en el contexto de la simbiosis entre invertebrados y bacterias marinas?,"Fue el primer caso conocido de simbiosis entre un invertebrado y bacterias marinas, modificando el concepto que se tenía de la vida al vivir en un hábitat casi carente de oxígeno y utilizar elementos sulfurosos procedentes del interior de la Tierra.",costa rica,costa rica_geography_DIFÍCIL,"El descubrimiento del Riftia pachyptila, un gusano tubícola que vive en fuentes hidrotermales, es crucial porque demuestra una simbiosis única entre invertebrados y bacterias quimiosintéticas. Estas bacterias convierten compuestos químicos, como el sulfuro de hidrógeno, en energía, permitiendo que el Riftia prospere en un ambiente extremo donde la luz solar no llega. Este hallazgo amplía nuestra comprensión de las interacciones ecológicas y la adaptación de organismos a condiciones extremas, además de tener implicaciones en la biología evolutiva y la búsqueda de vida en otros planetas.",,"# Importancia del Riftia pachyptila

El descubrimiento de *Riftia pachyptila* (gusano de tubo gigante) fue revolucionario porque:

## Cambio de paradigma
Demostró que los organismos **no dependen necesariamente de la fotosíntesis** como fuente de energía primaria. Este gusano vive en fuentes hidrotermales sin luz solar.

## Quimiosíntesis bacteriana
Reveló una **simbiosis obligatoria** entre el gusano y bacterias quimiosintéticas que oxidan sulfuro de hidrógeno (H₂S) para obtener energía, que transfieren al hospedador.

## Importancia científica
- Amplió el concepto de ecosistemas viables
- Mostró que la vida puede prosperar en ambientes extremos
- Evidenció la importancia de las bacterias simbióticas en la nutrición de invertebrados
- Inspiró búsqueda de vida en otros planetas

## Impacto biológ",,0.6124314665794373,0.38756853342056274,0.5384573936462402,0.46154260635375977,1.0
Chaetodontoplus melanosoma,Costa Rica,geography,FÁCIL,¿Qué tipo de pez es Chaetodontoplus melanosoma?,"una especie de ""pez ángel"" de la familia Pomacanthidae",costa rica,costa rica_geography_FÁCIL,"Chaetodontoplus melanosoma es un pez marino de la familia de los peces mariposa, conocido comúnmente como pez mariposa negro.",,"Chaetodontoplus melanosoma es un **pez ángel** (familia Pomacanthidae). Es una especie marina de agua salada, también conocida como ángel melanosoma o ángel de cola negra, originaria de arrecifes de coral del Océano Índico y Pacífico.",,0.3457050919532776,0.6542949080467224,0.5807190537452698,0.4192809462547302,1.0
Panesthia angustipennis,Costa Rica,geography,INTERMEDIA,¿Dónde se encuentra la especie Panesthia angustipennis?,En Japón.,costa rica,costa rica_geography_INTERMEDIA,La especie Panesthia angustipennis se encuentra principalmente en Australia.,,"# Panesthia angustipennis

La especie **Panesthia angustipennis** se encuentra en **Australia**, particularmente en regiones del este y sureste del país. Es una cucaracha nativa australiana que habita en ambientes húmedos y boscosos.",,0.044731855392456055,0.955268144607544,0.08767005056142807,0.9123299494385719,1.0
pirata sin cabeza,costa rica,tradition,DIFÍCIL,¿Quiénes fueron los piratas que sembraron el terror en Hispanoamérica y anclaron en el río Jesús María?,Bartolomé Sharp y William Dampier,costa rica,costa rica_tradition_DIFÍCIL,"Los piratas que sembraron el terror en Hispanoamérica y anclaron en el río Jesús María fueron los corsarios ingleses, entre ellos el famoso pirata Francis Drake.",,"# Piratas en el Río Jesús María

Los piratas más notables que operaron en Hispanoamérica y ancaron en el río Jesús María (ubicado en la costa de Venezuela) fueron:

- **Henry Morgan** - Bucanero galés que realizó ataques en el Caribe en el siglo XVII
- **Bartolomé Portugués** - Pirata que operó en aguas caribeñas
- **Otros bucaneros ingleses y franceses** que saqueaban ciudades costeras

El río Jesús María fue un punto de refugio estratégico para estos piratas durante sus operaciones de saqueo contra colonias españolas en el siglo XVII, especialmente durante las décadas de 1660-1680.

¿Hay algún pirata específico sobre el que desees más información?",,0.09867838025093079,0.9013216197490692,0.240377277135849,0.759622722864151,1.0
mitología guatusa,costa rica,tradition,FÁCIL,¿Qué agrupa la mitología guatusa?,Conjunto de historias religiosas protagonizadas por personajes de carácter divino.,costa rica,costa rica_tradition_FÁCIL,"La mitología guatusa agrupa las creencias, leyendas y tradiciones de los pueblos indígenas guatusos de Costa Rica y Nicaragua, centrándose en sus dioses, espíritus, y relatos sobre la creación, la naturaleza y la vida cotidiana.",,"# Mitología Guatusa

La mitología guatusa agrupa **creencias, historias y tradiciones religiosas del pueblo guatuso** (también llamados hwëtare), un grupo indígena de Costa Rica.

Esta mitología incluye:

- **Dioses y seres sobrenaturales** de su cosmología
- **Historias de creación** del mundo y la humanidad
- **Leyendas y relatos** sobre la naturaleza y los animales
- **Prácticas rituales y ceremoniales** asociadas a sus creencias

Es parte del patrimonio cultural inmaterial de este pueblo originario costarricense.",,0.4522949159145355,0.5477050840854645,0.3817012906074524,0.6182987093925476,1.0
Cuentos viejos,Costa Rica,tradition,INTERMEDIA,¿Cuántos cuentos tradicionales fueron recopilados originalmente en Cuentos viejos?,14 cuentos tradicionales,costa rica,costa rica_tradition_INTERMEDIA,Cuentos viejos recopila un total de 20 cuentos tradicionales.,,"No tengo información específica sobre una obra titulada ""Cuentos viejos"" ni sobre la cantidad exacta de cuentos que contiene. Para darte una respuesta precisa, necesitaría más contexto sobre:

- El autor o recopilador
- El país o región de origen
- La época de publicación

¿Podrías proporcionar más detalles sobre esta obra?",,0.6443119049072266,0.35568809509277344,0.5177361965179443,0.48226380348205566,1.0
Coppelia (empresa),Cuba,dish,DIFÍCIL,¿Quién dirigió el proyecto de Coppelia y qué objetivo tenía en relación a las marcas estadounidenses?,Fidel Castro; producir más sabores de helado que las grandes marcas estadounidenses,cuba,cuba_dish_DIFÍCIL,"El proyecto de Coppelia fue dirigido por el gobierno cubano, con el objetivo de desarrollar una plataforma de inteligencia artificial que pudiera competir con las marcas estadounidenses y reducir la dependencia tecnológica de Cuba.",,"# Coppelia

**Coppelia** fue un proyecto dirigido por la **CIA** (Agencia Central de Inteligencia de Estados Unidos) durante la Guerra Fría.

## Objetivo

El objetivo era **recopilar inteligencia sobre marcas y empresas estadounidenses** que operaban en Cuba, especialmente después de la Revolución Cubana de 1959. Buscaba monitorear y documentar las actividades comerciales estadounidenses en la isla para fines de espionaje económico y político.",,0.4214171767234802,0.5785828232765198,0.4855799674987793,0.5144200325012207,1.0
cojito,cuba,dish,FÁCIL,¿Qué es el cojito?,un cóctel dulce hecho con lima y menta,cuba,cuba_dish_FÁCIL,"El cojito es un término que se utiliza en algunos países de habla hispana para referirse a una persona que tiene una pierna más corta que la otra, lo que puede causar una forma de cojera. También puede referirse a un tipo de juego o broma en el que se simula una discapacidad.",,"# Cojito

El **cojito** es un cóctel cubano tradicional hecho con:

- **Ron blanco** (generalmente cubano)
- **Jugo de limón fresco**
- **Azúcar** o jarabe simple
- **Hielo**
- **Menta** (opcional)

Se prepara similar a un daiquiri o mojito, pero más simple. Es una bebida refrescante típica de Cuba, especialmente popular en La Habana. El nombre viene del diminutivo de ""cojo"" (cojito = ""cojitico""), aunque el origen exacto del nombre es incierto.",,0.09131041914224625,0.9086895808577538,0.4367430806159973,0.5632569193840027,1.0
pan cubano,cuba,dish,INTERMEDIA,¿Qué tipo de forma suelen tener las piezas de pan cubano?,piezas alargadas,cuba,cuba_dish_INTERMEDIA,Las piezas de pan cubano suelen tener forma alargada y rectangular.,,"Las piezas de pan cubano suelen tener forma **alargada y ovalada**, similar a una baguette francesa pero más corta y gruesa. Tienen una corteza crujiente y característica, con una hendidura o surco en el centro que las divide longitudinalmente.",,0.4544845521450043,0.5455154478549957,0.43755078315734863,0.5624492168426514,1.0
Mesocapromys auritus,Cuba,fauna,DIFÍCIL,¿Qué características distintivas tiene la jutía rata (Mesocapromys auritus) y cuál es su hábitat específico?,"Posee una larga cola casi del tamaño de su cuerpo, pelaje abundante y áspero, y su hábitat está constituido por una sola población en Cayo Fragoso.",cuba,cuba_fauna_DIFÍCIL,"La jutía rata (Mesocapromys auritus) se caracteriza por su tamaño mediano, cuerpo robusto, orejas grandes y pelaje suave y denso. Su color varía entre marrón y gris. Este roedor es endémico de Cuba y se encuentra principalmente en bosques y áreas de vegetación densa, como manglares y zonas costeras.",,"# Jutía Rata (Mesocapromys auritus)

## Características distintivas:
- **Orejas grandes y prominentes** (de ahí su nombre ""auritus"")
- **Tamaño mediano**: cuerpo robusto de aproximadamente 25-30 cm
- **Cola corta y gruesa**
- **Pelaje denso** de color marrón oscuro
- **Dientes roedores** característicos de los caviomorfos

## Hábitat específico:
- **Endémica de Cuba** (isla de la Juventud)
- Habita en **bosques húmedos y selvas** de zonas montañosas
- Prefiere áreas con **densa vegetación y refugios naturales**
- Se encuentra en terrenos rocosos con cuevas y grietas

## Estatus:
Es una especie **vulnerable** debido a la pérdida de hábitat y la depredación por especies introducidas.",,0.4798427224159241,0.5201572775840759,0.33724457025527954,0.6627554297447205,1.0
Eleutherodactylus bartonsmithi,Cuba,fauna,FÁCIL,¿Qué tipo de especie es Eleutherodactylus bartonsmithi?,una especie de rana de la familia Eleutherodactylidae,cuba,cuba_fauna_FÁCIL,Eleutherodactylus bartonsmithi es una especie de rana.,,"Eleutherodactylus bartonsmithi es una **especie de rana**. Específicamente, es una rana pequeña sin pulmones (o con pulmones muy reducidos) que pertenece a la familia Eleutherodactylidae. Es endémica de Puerto Rico.",,0.8551559448242188,0.14484405517578125,0.855695366859436,0.14430463314056396,1.0
Leptostylus heticus,Cuba,fauna,INTERMEDIA,¿En qué año fue descrita Leptostylus heticus?,1975,cuba,cuba_fauna_INTERMEDIA,Leptostylus heticus fue descrita en el año 2010.,,"No tengo información específica sobre el año en que fue descrita *Leptostylus heticus*. Para obtener esta información con precisión, te recomiendo consultar bases de datos especializadas como:

- Zoological Record
- Google Scholar
- Catálogos taxonómicos especializados en insectos

¿Hay algo más que pueda ayudarte?",,0.04667184129357338,0.9533281587064266,0.20448556542396545,0.7955144345760345,1.0
Hemithrinax,Cuba,flora,DIFÍCIL,¿Quién describió el género Hemithrinax y en qué publicación se realizó?,fue descrito por Joseph Dalton Hooker y publicado en Genera Plantarum 3: 930. 1883,cuba,cuba_flora_DIFÍCIL,"El género Hemithrinax fue descrito por el botánico estadounidense John Kunkel Small en su publicación ""Flora of the Virgin Islands"" en 1918.",,"# Hemithrinax

El género **Hemithrinax** fue descrito por **Hooker** en **1883**, en la publicación **""Report on the Flora of the Bahama Islands""** (Informe sobre la Flora de las Islas Bahamas).

Este género incluye palmas endémicas de las Bahamas, siendo la especie más conocida *Hemithrinax echinata*.",,0.4054245352745056,0.5945754647254944,0.2993529438972473,0.7006470561027527,1.0
Ximenia roigii,Cuba,flora,FÁCIL,¿Qué tipo de especie es Ximenia roigii?,Es una especie de planta en la familia Olacaceae.,cuba,cuba_flora_FÁCIL,Ximenia roigii es una especie de planta perteneciente a la familia Olacaceae.,,"Ximenia roigii es una **especie de planta** perteneciente a la familia Olacaceae. Es un arbusto o árbol pequeño endémico de Cuba, conocido por sus propiedades medicinales y su importancia en la flora local.",,0.8149669170379639,0.18503308296203613,0.6896297931671143,0.31037020683288574,1.0
Machaonia havanensis,Cuba,flora,INTERMEDIA,¿Dónde se distribuye Machaonia havanensis?,"desde México (Chiapas) hasta Belice, Cuba",cuba,cuba_flora_INTERMEDIA,"Machaonia havanensis se distribuye principalmente en áreas tropicales y subtropicales de América, especialmente en Cuba y otras islas del Caribe.",,"# Machaonia havanensis

**Machaonia havanensis** se distribuye en **Cuba**, específicamente en la región de La Habana y otras áreas de la isla. Es una especie endémica de Cuba.",,0.53226238489151,0.46773761510849,0.4728061556816101,0.5271938443183899,1.0
Torrey Canyon,Cuba,geography,DIFÍCIL,¿Cuál fue el impacto del hundimiento del Torrey Canyon en las normas internacionales de navegación?,"El desastre del Torrey Canyon condujo a una profunda reestructuración de las normas internacionales de navegación, sobre todo en lo referente a la responsabilidad civil de las compañías y a la prevención de desastres ambientales del mismo tipo.",cuba,cuba_geography_DIFÍCIL,"El hundimiento del Torrey Canyon en 1967 tuvo un impacto significativo en las normas internacionales de navegación, ya que llevó a la creación de regulaciones más estrictas sobre la seguridad marítima y la protección del medio ambiente. Se establecieron nuevas normativas para la prevención de derrames de petróleo, se mejoraron los estándares de construcción de buques y se promovió la cooperación internacional en la respuesta a emergencias marítimas. Además, impulsó la creación de la Organización Marítima Internacional (OMI) para abordar estos problemas de manera más efectiva.",,"# Impacto del Torrey Canyon en normas internacionales

El hundimiento del **Torrey Canyon en 1967** fue un punto de inflexión que generó importantes cambios:

## Principales impactos:

1. **Convenio MARPOL (1973)**: Estableció regulaciones para prevenir la contaminación marina por petróleo y otras sustancias.

2. **Normas de seguridad marítima**: Impulsó mejoras en:
   - Diseño de buques tanqueros
   - Sistemas de doble casco
   - Procedimientos de navegación

3. **Responsabilidad civil**: Llevó a crear fondos de compensación internacional para daños por derrames de petróleo.

4. **Inspecciones y control**: Fortaleció los sistemas de inspección de buques y puertos.

5. **Conciencia ambiental**: Marcó el inicio de una mayor preocupación por la protección marina a nivel global.

Este desastre ecológico (37 millones de litros de",,0.8185713887214661,0.18142861127853394,0.732283890247345,0.26771610975265503,1.0
Tormenta tropical Ana (2003),Cuba,geography,FÁCIL,¿Qué tipo de fenómeno meteorológico fue la tormenta tropical Ana?,Tormenta tropical.,cuba,cuba_geography_FÁCIL,"La tormenta tropical Ana fue un fenómeno meteorológico que se formó en el océano y se caracterizó por vientos sostenidos y lluvias intensas, típicos de las tormentas tropicales.",,"La tormenta tropical Ana fue un **ciclón tropical** (específicamente una tormenta tropical, categoría intermedia entre depresión tropical y huracán). 

Se caracterizó por vientos fuertes, lluvias abundantes y potencial destructivo típico de este tipo de fenómenos meteorológicos que se forman sobre aguas cálidas oceánicas.",,0.4983709752559662,0.5016290247440338,0.5766531229019165,0.4233468770980835,1.0
SS Yarmouth,Cuba,geography,INTERMEDIA,¿En qué año fue construido el SS Yarmouth?,1903.,cuba,cuba_geography_INTERMEDIA,El SS Yarmouth fue construido en el año 1884.,,El SS Yarmouth fue construido en **1927**.,,0.2782857418060303,0.7217142581939697,0.2624146640300751,0.7375853359699249,1.0
clave (instrumento de percusión),cuba,object,DIFÍCIL,¿Cuál es el origen de las claves y para qué se utilizaban inicialmente en Cuba?,proviene de clavijas de ácanas que fijaban el maderamen de los barcos y se utilizó para marcar el ritmo de trabajo entre los astilleros cubanos,cuba,cuba_object_DIFÍCIL,"Las claves tienen su origen en la música afrocubana y se utilizaban inicialmente como un instrumento de percusión para marcar el ritmo en la música y danzas africanas que llegaron a Cuba con los esclavos. Con el tiempo, se integraron en diversos géneros musicales cubanos, como el son y la rumba.",,"# Origen de las Claves en Cuba

## Origen
Las claves tienen raíces en **instrumentos de percusión africanos** traídos por esclavos durante la época colonial. También se relacionan con herramientas de trabajo (claves de madera usadas en minas y construcción).

## Uso Inicial
Se utilizaban principalmente para:

1. **Marcar el ritmo** en trabajos forzados y en campos
2. **Acompañamiento musical** en celebraciones y rituales de origen africano
3. **Comunicación** entre trabajadores

## Evolución
Con el tiempo, las claves se integraron en la música popular cubana, convirtiéndose en un instrumento fundamental de la **música folklórica y popular** (son, rumba, mambo, salsa), donde marcan el patrón rítmico característico de la música cubana.

Hoy son un símbolo cultural cubano reconocido mundialmente.",,0.5166639685630798,0.48333603143692017,0.5600099563598633,0.4399900436401367,1.0
guataca,cuba,object,FÁCIL,¿Qué es la guataca?,la palabra para la Azada,cuba,cuba_object_FÁCIL,"La guataca es una herramienta agrícola de mano, similar a una azada, que se utiliza para cavar, desmalezar y labrar la tierra. Es común en trabajos de agricultura y jardinería.",,"# Guataca

La guataca es una **herramienta agrícola** utilizada principalmente en América Latina, especialmente en Cuba y otros países caribeños.

## Características:
- Consiste en una **pala plana y ancha** con un mango largo
- Se usa para **cavar, remover y preparar la tierra**
- Similar a una azada, pero con la hoja más rectangular

## Usos:
- Labrar y airear el suelo
- Hacer surcos para siembra
- Remover maleza
- Trabajos de jardinería y agricultura

Es una herramienta tradicional muy común en el trabajo agrícola manual.",,0.2404775619506836,0.7595224380493164,0.35325101017951965,0.6467489898204803,1.0
Bongó,Cuba,object,INTERMEDIA,¿Dónde se documentó por primera vez el uso del bongó?,la región oriental de Cuba,cuba,cuba_object_INTERMEDIA,El uso del bongó se documentó por primera vez en Cuba a finales del siglo XIX.,,"# Primer registro del bongó

El bongó se documentó por primera vez en **Cuba** a finales del siglo XIX. Su origen se remonta a la música afrocubana, donde surgió como evolución de instrumentos de percusión africanos traídos por esclavos. 

Se popularizó especialmente en el contexto del **son cubano** y la música popular cubana durante el siglo XX, convirtiéndose en un instrumento fundamental de la música latina.",,0.6579552888870239,0.3420447111129761,0.6108089089393616,0.3891910910606384,1.0
fritada (ecuador),ecuador,dish,DIFÍCIL,"¿Qué ingredientes autóctonos de la sierra ecuatoriana se agregaron a la fritada, y quién introdujo el cerdo al continente americano?","mote, choclo y papas; los españoles",ecuador,ecuador_dish_DIFÍCIL,"En la fritada ecuatoriana se suelen agregar ingredientes autóctonos como el mote (maíz cocido), la llapingacho (tortilla de papa) y el ají. El cerdo fue introducido al continente americano por los conquistadores españoles en el siglo XVI.",,"# Fritada ecuatoriana

**Ingredientes autóctonos agregados:**
- **Maíz** (en forma de mote)
- **Plátano verde** (frito)
- **Yuca**
- **Cebolla blanca** y otros vegetales locales

**Introducción del cerdo:**
**Cristóbal Colón** fue quien introdujo los cerdos al continente americano durante su segundo viaje en 1493. Los españoles trajeron esta especie como parte de la conquista y colonización, transformando la gastronomía americana.

La fritada es un ejemplo de **fusión culinaria**: la técnica española de freír carne de cerdo se combinó con ingredientes andinos para crear este plato típico de la sierra ecuatoriana.",,0.6494170427322388,0.35058295726776123,0.6878186464309692,0.31218135356903076,1.0
Corporación Fernández,Ecuador,dish,FÁCIL,¿Qué tipo de empresa es Corporación Fernández?,una Empresa Nacional,ecuador,ecuador_dish_FÁCIL,"Corporación Fernández es una empresa dedicada a la producción y comercialización de productos alimenticios, especialmente en el sector de la panadería y pastelería.",,"No tengo información específica sobre ""Corporación Fernández"" en mis datos. Para poder ayudarte, necesitaría más contexto, como:

- Su ubicación geográfica (país, ciudad)
- El sector o industria en el que opera
- Si es una empresa conocida o local

¿Podrías proporcionar más detalles para que pueda darte una respuesta más precisa?",,0.2871233820915222,0.7128766179084778,0.4234189987182617,0.5765810012817383,1.0
mote pillo,ecuador,dish,INTERMEDIA,¿Cuáles son los ingredientes principales del mote pillo?,mote y huevo,ecuador,ecuador_dish_INTERMEDIA,"Los ingredientes principales del mote pillo son mote (trigo o maíz), cebolla, ajo, huevo, y a menudo se le añaden carnes como pollo o cerdo, además de especias y hierbas.",,"# Ingredientes principales del mote pillo

El mote pillo es un plato típico ecuatoriano cuyos ingredientes principales son:

1. **Mote** (maíz cocido y desgranado)
2. **Queso fresco** (desmenuzado)
3. **Huevos**
4. **Cebolla**
5. **Aceite o mantequilla**
6. **Sal y pimienta**

Algunos preparados también incluyen **cilantro** y **ají** para darle más sabor. Se trata de una mezcla que se cocina en sartén hasta obtener una consistencia cremosa y sabrosa.",,0.5744807720184326,0.4255192279815674,0.47460663318634033,0.5253933668136597,1.0
Pithecia aequatorialis,Ecuador,fauna,DIFÍCIL,¿Cuáles son las características distintivas del Sakí ecuatorial en términos de su comportamiento social y dieta?,"Es una especie gregaria, vive en grupos de uno a cuatro individuos y se alimenta principalmente de fruta y hojas de los árboles en los que vive.",ecuador,ecuador_fauna_DIFÍCIL,"El Sakí ecuatorial, conocido como Pithecia aequatorialis, se caracteriza por ser un primate social que vive en grupos pequeños, generalmente de 2 a 10 individuos. Su comportamiento social incluye la formación de lazos fuertes entre los miembros del grupo y una comunicación vocal variada. En cuanto a su dieta, es principalmente frugívoro, alimentándose de frutas, pero también consume hojas, semillas y, ocasionalmente, insectos.",,"# Sakí Ecuatorial

## Comportamiento Social
- **Grupos pequeños**: Viven en grupos de 4-8 individuos
- **Territoriales**: Defienden activamente su territorio
- **Nocturnos/Crepusculares**: Más activos al atardecer y noche
- **Comunicación vocal**: Utilizan vocalizaciones para mantener cohesión grupal

## Dieta
- **Omnívoros especializados**: Se alimentan principalmente de:
  - Semillas y frutos
  - Insectos (especialmente artrópodos)
  - Pequeños vertebrados ocasionalmente
- **Forrajeros activos**: Buscan alimento en el dosel y sotobosque
- **Preferencia por semillas duras**: Tienen mandíbulas fuertes para romper semillas

## Hábitat
Viven en bosques húmedos tropicales de la Amazonía ecuatoriana, moviéndose ágilmente entre las ramas del dosel.",,0.41692236065864563,0.5830776393413544,0.30927300453186035,0.6907269954681396,1.0
Puffinus subalaris,Ecuador,fauna,FÁCIL,¿Qué tipo de especie es Puffinus subalaris?,Es una pequeña ave.,ecuador,ecuador_fauna_FÁCIL,"Puffinus subalaris es una especie de ave marina, comúnmente conocida como el pardela de alas claras.",,"Puffinus subalaris es un **ave marina**, específicamente un **petrel o pardela**. Es una especie de ave procariiforme de la familia Procellariidae, conocida comúnmente como pardela de Audubon. Se distribuye en océanos tropicales y subtropicales.",,0.5394423007965088,0.4605576992034912,0.42048919200897217,0.5795108079910278,1.0
Knodus septentrionalis,Ecuador,fauna,INTERMEDIA,¿Dónde se encuentra Knodus septentrionalis?,Sudamérica: cuenca del río Pastaza en Ecuador,ecuador,ecuador_fauna_INTERMEDIA,"Knodus septentrionalis se encuentra en ríos y cuerpos de agua dulce de América del Sur, específicamente en la cuenca del Amazonas y sus afluentes.",,"# Knodus septentrionalis

**Knodus septentrionalis** es una especie de pez que se encuentra en **América del Sur**, específicamente en la **cuenca del río Amazonas** en **Colombia y Perú**.

Habita en ríos y arroyos de agua dulce en regiones tropicales de la Amazonia.",,0.3756924569606781,0.6243075430393219,0.4157048463821411,0.5842951536178589,1.0
Brachyotum confertum,Ecuador,flora,DIFÍCIL,¿Qué características distintivas tiene Brachyotum confertum y en qué parque está protegida?,es un endemismo de Ecuador y está protegida en el interior del Parque nacional Cajas,ecuador,ecuador_flora_DIFÍCIL,"Brachyotum confertum es una planta que se caracteriza por sus hojas grandes y brillantes, así como por sus flores en racimos que pueden ser de color amarillo a naranja. Esta especie está protegida en el Parque Nacional Chirripó, en Costa Rica.",,"# Brachyotum confertum

**Características distintivas:**
- Arbusto de la familia Melastomataceae
- Flores de color púrpura o violeta
- Hojas pequeñas y densamente agrupadas (de ahí su nombre ""confertum"")
- Tamaño compacto, típicamente entre 1-2 metros de altura
- Frutos tipo baya

**Protección:**
Está protegida en el **Parque Nacional Podocarpus** (ubicado en la frontera entre las provincias de Loja y Zamora-Chinchipe, Ecuador).

Esta especie es endémica de los Andes ecuatorianos y se encuentra en bosques nublados de montaña.",,0.4857051968574524,0.5142948031425476,0.4766276478767395,0.5233723521232605,1.0
ecuadendron,ecuador,flora,FÁCIL,¿Qué tipo de planta es el Ecuadendron?,un género monotípico de plantas de la subfamilia Caesalpinioideae,ecuador,ecuador_flora_FÁCIL,El Ecuadendron es un género de plantas arbóreas de la familia de las Podocarpaceae.,,"El Ecuadendron es un árbol tropical de la familia Sapotaceae, nativo de Ecuador. Se caracteriza por ser una especie forestal de tamaño mediano a grande, con madera valiosa y frutos comestibles. Es poco conocido fuera de su región de origen.",,0.6011291742324829,0.3988708257675171,0.4998956620693207,0.5001043379306793,1.0
Anthurium andraeanum,Ecuador,flora,INTERMEDIA,¿Dónde es nativa el Anthurium andraeanum?,Colombia y Ecuador,ecuador,ecuador_flora_INTERMEDIA,El Anthurium andraeanum es nativo de Colombia y Ecuador.,,"El Anthurium andraeanum es nativo de Colombia, específicamente de las regiones tropicales del país.",,0.6842373609542847,0.31576263904571533,0.6177545785903931,0.38224542140960693,1.0
Parroquia Sucre (Guayaquil),Ecuador,geography,DIFÍCIL,¿A quién se le debe el nombre de la Parroquia Sucre y qué evento histórico relevante está asociado con esta figura?,"Se le debe al mariscal Antonio José de Sucre, quien comandó las tropas que derrotaron a los españoles en la Batalla del Pichincha el 24 de mayo de 1822.",ecuador,ecuador_geography_DIFÍCIL,"El nombre de la Parroquia Sucre se debe a Antonio José de Sucre, un destacado líder militar y político venezolano. Está asociado con la independencia de varios países sudamericanos y es conocido por su papel en la Batalla de Ayacucho, que selló la independencia del Perú y marcó un hito en la liberación de América del Sur del dominio español.",,"# Parroquia Sucre

La Parroquia Sucre lleva el nombre de **Antonio José de Sucre**, mariscal y prócer de la independencia sudamericana.

## Evento histórico relevante:

El evento más importante asociado a Sucre es la **Batalla de Ayacucho (1824)**, donde derrotó definitivamente a las fuerzas realistas españolas en Perú, consolidando la independencia de América del Sur. Sucre también fue el fundador de Bolivia (entonces Alto Perú) y su primer presidente.",,0.5351735353469849,0.46482646465301514,0.5481167435646057,0.4518832564353943,1.0
Cantón Eloy Alfaro,Ecuador,geography,FÁCIL,¿Cuál es la cabecera cantonal del Cantón Eloy Alfaro?,la ciudad de Valdez más conocida como Limones,ecuador,ecuador_geography_FÁCIL,La cabecera cantonal del Cantón Eloy Alfaro es la ciudad de La Concordia.,,La cabecera cantonal del Cantón Eloy Alfaro es **Durán**.,,0.1972346305847168,0.8027653694152832,0.2234238237142563,0.7765761762857437,1.0
Cantón El Carmen,Ecuador,geography,INTERMEDIA,¿Cuál es la cabecera cantonal del Cantón El Carmen?,la ciudad de El Carmen,ecuador,ecuador_geography_INTERMEDIA,La cabecera cantonal del Cantón El Carmen es la ciudad de El Carmen.,,"La cabecera cantonal del Cantón El Carmen es **El Carmen**, la cual es una ciudad ubicada en la provincia de Manabí, Ecuador.",,0.7097383141517639,0.2902616858482361,0.644752025604248,0.35524797439575195,1.0
