row_index,model,pais,Category,Difficulty,Question,Answer,response,score_embedding,judge_method,judge_raw,judge_prompt_version,judge_label,judge_stability,judge_consolidation
184,GPT,panama,fauna,FÁCIL,¿Qué tipo de ave es el Ara ararauna?,una especie de ave psitaciforme de la familia Psittacidae,"El Ara ararauna, conocido como guacamayo azul y amarillo, es un loro de gran tamaño perteneciente a la familia de los psitácidos.",0.5247060060501099,gpt,CORRECTA,v2_fixed_system_prompt,correcta,True,mode_of_3_runs
185,GPT,panama,fauna,INTERMEDIA,¿Dónde se encuentra Tmarus rubinus?,En Panamá.,"Tmarus rubinus se encuentra en Europa, especialmente en regiones como el sur de Francia y la península ibérica.",0.1691298186779022,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
186,GPT,panama,geography,DIFÍCIL,¿Cuál es la extensión de La Gloria (Bocas del Toro) y qué densidad de población tiene en 2023?,"Una extensión de 159 km² y una densidad de población de 20,4 habitantes por km².","La Gloria, en Bocas del Toro, tiene una extensión de aproximadamente 2.5 km². Sin embargo, no tengo datos específicos sobre la densidad de población en 2023. Te recomendaría consultar fuentes oficiales o estadísticas recientes para obtener esa información.",0.4308185577392578,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
187,GPT,panama,geography,FÁCIL,¿Qué tipo de lugar es Los Milagros?,corregimiento,"Los Milagros es un municipio en España, situado en la provincia de Cáceres, en la comunidad autónoma de Extremadura. Es conocido por su entorno rural y su patrimonio cultural.",0.0,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
188,GPT,panama,geography,INTERMEDIA,¿Dónde se ubica la serranía de Majé?,"Al oeste de Panamá, extendiéndose sobre la provincia de Panamá hasta la zona que colinda con la provincia del Darién.","La serranía de Majé se ubica en Panamá, específicamente en la provincia de Darién.",0.7996131181716919,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
189,GPT,panama,object,DIFÍCIL,¿Qué materiales son frecuentes en la fabricación de un almirez y en qué contextos culturales se utiliza?,Es frecuente que sea de latón o bronce fundido y se utiliza en el tamborito y la cumbia panameña de la localidad de Antón en la provincia de Coclé.,"Los almireces suelen estar hechos de materiales como metal (bronce, cobre o acero), madera o cerámica. Se utilizan en diversas culturas para moler especias, hierbas y otros ingredientes, siendo comunes en la cocina tradicional de países de Asia, África y América Latina.",0.5656936168670654,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
190,GPT,panama,object,FÁCIL,¿Qué es la mejorana?,un instrumento musical de cuerda originario de Panamá,"La mejorana es una planta herbácea aromática de la familia de las Lamiáceas, conocida científicamente como Origanum majorana. Se utiliza comúnmente como especia en la cocina mediterránea y tiene propiedades medicinales. Su sabor es similar al orégano, pero más suave y dulce.",0.2364482581615448,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
191,GPT,panama,object,INTERMEDIA,¿En qué provincias de Panamá se confecciona el sombrero pintao?,las provincias centrales de Panamá,El sombrero pintao se confecciona principalmente en las provincias de Panamá y Coclé.,0.6424990892410278,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
192,GPT,panama,tradition,DIFÍCIL,¿Qué ley declara al Festival Nacional del Manito como Fiesta Folclórica Nacional de la República de Panamá y en qué año se aprobó?,la Ley 53 en diciembre de 1999,"La ley que declara al Festival Nacional del Manito como Fiesta Folclórica Nacional de la República de Panamá es la Ley 36, aprobada en el año 2018.",0.4415380656719208,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
193,GPT,panama,tradition,FÁCIL,¿Qué es el Círio de Nazaré?,una fiesta religiosa católica,"El Círio de Nazaré es una festividad religiosa que se celebra en Belém, Brasil, en honor a Nuestra Señora de Nazaré. Se lleva a cabo el segundo domingo de octubre y es una de las mayores manifestaciones de fe en el país, atrayendo a millones de peregrinos que participan en una procesión que recorre la ciudad. La festividad incluye misas, rezos y diversas actividades culturales.",0.4619149267673492,gpt,CORRECTA,v2_fixed_system_prompt,correcta,True,mode_of_3_runs
194,GPT,panama,tradition,INTERMEDIA,¿Quiénes participan en la interpretación del tamborito?,"Una voz principal (cantalante), el ""cajero"", otros tambores y un coro de mujeres.","En la interpretación del tamborito participan principalmente cantantes, músicos que tocan instrumentos de percusión como el tambor, y a menudo bailarines que realizan danzas tradicionales.",0.6078873872756958,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
195,GPT,paraguay,dish,DIFÍCIL,¿Qué diferencia al copetín de la picada en términos de abundancia de ingredientes y horario de consumo?,"el copetín es mucho menos abundante en elementos que una picada y se consume a la tarde o a la ""media tarde""","El copetín se caracteriza por tener una menor abundancia de ingredientes y se consume generalmente en horarios previos a las comidas principales, como aperitivo. En cambio, la picada suele ser más abundante y se sirve como una comida más sustancial, consumiéndose en horarios más flexibles, a menudo durante reuniones o como cena ligera.",0.6675792932510376,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
196,GPT,paraguay,dish,FÁCIL,¿Qué es la torta frita?,Es un bocado típico de la gastronomía de Hispanoamérica.,"La torta frita es un alimento típico de varios países de América Latina, especialmente en Argentina y Uruguay. Se trata de una masa frita, similar a un pan o galleta, que se prepara con harina, agua, sal y, a veces, un poco de grasa. Se suele consumir caliente, a menudo acompañada de mate o dulce.",0.4788985848426819,gpt,CORRECTA,v2_fixed_system_prompt,correcta,True,mode_of_3_runs
197,GPT,paraguay,dish,INTERMEDIA,¿Cómo se suele servir el sándwich mixto?,tostado,"El sándwich mixto se suele servir caliente, a menudo tostado o a la plancha, y se compone de pan, jamón y queso. A veces se acompaña de guarniciones como papas fritas o ensalada.",0.454395055770874,gpt,CORRECTA,v2_fixed_system_prompt,correcta,True,mode_of_3_runs
198,GPT,paraguay,flora,DIFÍCIL,¿A qué tipo de hábitat está adaptada Alstroemeria apertiflora y en qué bioma crece principalmente?,"a los humedales del sur, sureste y centro-oeste de Brasil; principalmente en el bioma subtropical","Alstroemeria apertiflora está adaptada a hábitats de praderas y matorrales, y crece principalmente en el bioma de las zonas templadas.",0.4497148990631103,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
199,GPT,paraguay,flora,FÁCIL,¿Qué tipo de planta es Discocactus hartmannii?,una especie de planta suculenta,Discocactus hartmannii es un cactus.,0.5205417275428772,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
200,GPT,paraguay,flora,INTERMEDIA,¿Dónde se distribuye Cereus lanosus?,desde el centro y oeste de Brasil hasta Paraguay,"Cereus lanosus se distribuye principalmente en regiones áridas y semiáridas de América del Sur, especialmente en países como Argentina y Bolivia.",0.5224774479866028,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
201,GPT,paraguay,geography,DIFÍCIL,¿Qué importancia tiene la mata atlántica para la población brasileña y qué porcentaje de esta población vive en su área de dominio?,"El 70% de la población brasileña vive en el área de dominio de la Mata Atlántica, que mantiene los nacientes y manantiales que abastecen a las ciudades y comunidades del interior.","La Mata Atlántica es crucial para la población brasileña porque proporciona servicios ecosistémicos como la regulación del clima, la conservación del agua y la biodiversidad. Además, es un área rica en recursos naturales y culturales. Aproximadamente el 70% de la población brasileña vive en su área de dominio.",0.8123840093612671,gpt,CORRECTA,v2_fixed_system_prompt,correcta,True,mode_of_3_runs
202,GPT,paraguay,geography,FÁCIL,¿Qué fue la República del Tucumán?,"Un estado de efímera existencia, de septiembre de 1820 a agosto de 1821.","La República del Tucumán fue un estado independiente que existió brevemente en 1814 en el actual noroeste de Argentina, durante las guerras de independencia de Hispanoamérica. Se proclamó tras la disolución del Virreinato del Río de la Plata y buscó establecer un gobierno autónomo. Sin embargo, su existencia fue efímera y en 1816 se unió a las Provincias Unidas del Río de la Plata.",0.4730710983276367,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
203,GPT,paraguay,geography,INTERMEDIA,¿Dónde se ubica el barrio Ricardo Brugada?,"En la ciudad de Asunción, capital de Paraguay.","El barrio Ricardo Brugada se ubica en Asunción, la capital de Paraguay.",0.7542352676391602,gpt,CORRECTA,v2_fixed_system_prompt,correcta,True,mode_of_3_runs
204,GPT,paraguay,object,DIFÍCIL,¿Qué simbolismo tiene el tacuapú en las ceremonias guaraníes y quiénes lo ejecutan?,está dotado de un claro simbolismo referente a la unión sexual y la fertilización y es ejecutable solo por las mujeres,"El tacuapú simboliza la conexión con la tierra y la espiritualidad en las ceremonias guaraníes. Es ejecutado por los líderes espirituales o chamanes de la comunidad, quienes guían las rituales y comunican con los espíritus.",0.2718561291694641,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
205,GPT,paraguay,object,FÁCIL,¿Qué agrupa la Asociación de Artesanos de Tobatí?,Artesanos del municipio.,"La Asociación de Artesanos de Tobatí agrupa a artesanos que se dedican a la producción y venta de artesanías, especialmente en cerámica y otros productos tradicionales de la región.",0.4384053945541382,gpt,CORRECTA,v2_fixed_system_prompt,correcta,True,mode_of_3_runs
206,GPT,paraguay,object,INTERMEDIA,¿A qué edad comenzó Rosa Brítez a dedicarse al moldeado del barro?,desde los nueve años,Rosa Brítez comenzó a dedicarse al moldeado del barro a los 12 años.,0.2654701471328735,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
207,GPT,paraguay,tradition,DIFÍCIL,¿Qué obra de gran tamaño elaboró Koki Ruiz para la misa principal durante la visita del papa Francisco a Paraguay?,un retablo de gran tamaño,Koki Ruiz elaboró un altar de gran tamaño para la misa principal durante la visita del papa Francisco a Paraguay.,0.3360098898410797,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
208,GPT,paraguay,tradition,FÁCIL,¿Qué es el GRES Beija-Flor?,una escuela de samba brasileña del municipio de Nilópolis,"El GRES Beija-Flor es una escuela de samba de Brasil, ubicada en la ciudad de Nilópolis, en el estado de Río de Janeiro. Es conocida por sus desfiles en el Carnaval y ha ganado múltiples campeonatos en el Grupo Especial, destacándose por su creatividad y elaborados espectáculos.",0.649847149848938,gpt,CORRECTA,v2_fixed_system_prompt,correcta,True,mode_of_3_runs
209,GPT,paraguay,tradition,INTERMEDIA,¿Quién escribió el epitafio que se encuentra en la Tumba del Indio Desconocido?,El poeta magallánico José Grimaldi Acotto.,El epitafio de la Tumba del Indio Desconocido fue escrito por el poeta uruguayo Mario Benedetti.,0.3877314329147339,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
210,GPT,peru,dish,DIFÍCIL,"¿Por qué se le denomina ""levantamuertos"" al aguadito de pollo y qué relación tiene con su consumo?","porque su consumo suele ser de madrugada al final de alguna fiesta o celebración, y está ligado a un potencial teórico para aliviar los síntomas asociados con la resaca","Se le denomina ""levantamuertos"" al aguadito de pollo porque se considera un plato reconfortante y revitalizante, ideal para recuperar energías después de una enfermedad o una noche de fiesta. Su caldo caliente y nutritivo se asocia con la recuperación y el bienestar.",0.4658740162849426,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
211,GPT,peru,dish,FÁCIL,¿Qué es el arroz zambito?,un postre peruano típico de la gastronomía limeña,"El arroz zambito es un tipo de arroz integral de grano corto, característico por su color marrón oscuro y su sabor dulce. Es popular en la cocina de algunos países de América Latina, especialmente en Perú, donde se utiliza en postres y platos tradicionales.",0.4910360872745514,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
212,GPT,peru,dish,INTERMEDIA,¿Qué forma reciben los barquillos en forma de cono?,cucuruchos,"Los barquillos en forma de cono se conocen como ""barquillos de helado"" o ""cono de helado"".",0.1697196066379547,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
213,GPT,peru,fauna,DIFÍCIL,¿Qué diferencias morfológicas y de vocalización presenta el curutié de Vilcabamba en comparación con C. marcapatae?,la corona blanca y una marcante lista negra lateral a la corona,"El curutié de Vilcabamba (C. vilcabambae) presenta diferencias morfológicas y de vocalización en comparación con C. marcapatae. Morfológicamente, el curutié de Vilcabamba suele tener un plumaje más oscuro y un tamaño ligeramente mayor. En cuanto a vocalización, el curutié de Vilcabamba emite un canto más melodioso y variado, mientras que C. marcapatae tiene un canto más simple y monótono. Estas diferencias ayudan a distinguir ambas especies en su hábitat natural.",0.2772938013076782,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
214,GPT,peru,fauna,FÁCIL,¿Qué tipo de especie es Phanaeus lecourti?,Es una especie de escarabajo.,"Phanaeus lecourti es una especie de escarabajo del género Phanaeus, perteneciente a la familia Scarabaeidae.",0.3706485629081726,gpt,CORRECTA,v2_fixed_system_prompt,correcta,True,mode_of_3_runs
215,GPT,peru,fauna,INTERMEDIA,¿En qué país habita Dendropsophus delarivai?,Bolivia,Dendropsophus delarivai habita en Brasil.,0.3621473014354706,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
216,GPT,peru,flora,DIFÍCIL,¿Qué características distintivas presenta Corryocactus serpens y en qué tipo de hábitat crece?,presenta de 4 a 6 costillas obtusas y crece principalmente en biomas desérticos o de matorral seco,"Corryocactus serpens se caracteriza por sus tallos cilíndricos, que pueden alcanzar hasta 1 metro de longitud, y sus espinas largas y delgadas. Presenta flores grandes y tubulares de color rojo o amarillo. Este cactus crece en hábitats áridos y semiáridos, típicamente en regiones montañosas de Bolivia y Perú, donde se encuentra en suelos bien drenados.",0.4860158562660217,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
217,GPT,peru,flora,FÁCIL,¿Qué tipo de planta es Samaipaticereus herrerae?,"Es una especie de planta suculenta perteneciente al género Samaipaticereus, dentro de la familia Cactaceae.",Samaipaticereus herrerae es un cactus.,0.7176721692085266,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
218,GPT,peru,flora,INTERMEDIA,¿Dónde se encuentra Epidendrum secundum?,el bosque montano de los Neotropicos,"Epidendrum secundum se encuentra en regiones tropicales de América, especialmente en países como México, Guatemala, y partes de América Central y del Sur.",0.203808307647705,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
219,GPT,peru,geography,DIFÍCIL,¿Qué etnias habitan en Chivay y qué relación tienen con los pueblos antiguos de la región?,dos etnias,"En Chivay, que se encuentra en la región de Arequipa, Perú, habitan principalmente etnias quechuas. Estas comunidades tienen una conexión histórica con los pueblos antiguos de la región, como los collas y los incas, ya que mantienen tradiciones, lenguas y prácticas culturales que se han transmitido a lo largo de los siglos. Su relación se refleja en la agricultura, la vestimenta y las festividades que preservan elementos de su herencia ancestral.",0.4665547013282776,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
220,GPT,peru,geography,FÁCIL,¿Qué tipo de lugar es el parque nacional Otishi?,Parque nacional,"El Parque Nacional Otishi es un área protegida en Perú, conocida por su biodiversidad y paisajes naturales. Se encuentra en la región de Junín y es hogar de diversas especies de flora y fauna, muchas de ellas endémicas. Es un destino para el ecoturismo y la conservación.",0.3972244560718536,gpt,CORRECTA,v2_fixed_system_prompt,correcta,True,mode_of_3_runs
221,GPT,peru,geography,INTERMEDIA,¿En qué región de Perú se encuentra Pomacanchi?,Pomacanchi se encuentra en la región Cusco.,"Pomacanchi se encuentra en la región de Apurímac, Perú.",0.594011664390564,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
222,GPT,peru,tradition,DIFÍCIL,¿Qué relación existe entre la Leyenda de Manco Cápac y Mama Ocllo y la visión de la creación del Imperio de los Cápac Ayllu?,está ligada a la visión de la creación del Imperio de los Cápac Ayllu,"La Leyenda de Manco Cápac y Mama Ocllo narra la fundación del Imperio Inca y su origen divino, donde Manco Cápac, hijo del dios sol Inti, y Mama Ocllo, su hermana y esposa, emergen del lago Titicaca para civilizar a los pueblos andinos. Esta leyenda refleja la visión de la creación del Imperio de los Cápac Ayllu, que se basa en la organización social y política de los ayllus, comunidades que se unieron bajo el liderazgo de Manco Cápac, estableciendo así las bases del incanato. Ambos elementos destacan la conexión entre lo sagrado y la estructura social del imperio.",0.7962137460708618,gpt,CORRECTA,v2_fixed_system_prompt,correcta,True,mode_of_3_runs
223,GPT,peru,tradition,FÁCIL,¿Qué tipo de música fusiona la banda Novalima?,"Música afroperuana con electrónica, global beats y otros géneros contemporáneos.","La banda Novalima fusiona música afroperuana con géneros como el dub, el reggae, el funk y la electrónica.",0.724745512008667,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
224,GPT,peru,tradition,INTERMEDIA,¿Qué tipo de danzas son las que se ejecutan durante la fiesta de las chicharras carnavalescas?,danzas carnavalescas,"Durante la fiesta de las chicharras carnavalescas se ejecutan danzas tradicionales como la danza de los diablos, la danza de los morenos y otras danzas folclóricas que varían según la región.",0.7561904788017273,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
225,GPT,republica dominicana,dish,DIFÍCIL,¿Qué características distintivas tiene la cerveza The One en comparación con otras cervezas dominicanas como Presidente y Bohemia?,"Es más suave al paladar y tiene un estilo de ""suave perfil sensorial"".","La cerveza The One se distingue por su sabor más suave y ligero, con un enfoque en la frescura y la calidad de los ingredientes. A diferencia de Presidente, que es una lager más robusta, y Bohemia, que tiene un perfil más maltoso y un sabor más intenso, The One busca atraer a quienes prefieren cervezas menos amargas y más refrescantes. Además, su presentación y marketing suelen estar orientados a un público más joven y moderno.",0.4672169685363769,gpt,CORRECTA,v2_fixed_system_prompt,correcta,True,mode_of_3_runs
226,GPT,republica dominicana,dish,FÁCIL,¿Qué tipo de cerveza es Presidente?,Cerveza tipo Pilsener.,"La cerveza Presidente es una lager tipo pilsner, originaria de la República Dominicana.",0.2817544937133789,gpt,CORRECTA,v2_fixed_system_prompt,correcta,True,mode_of_3_runs
227,GPT,republica dominicana,dish,INTERMEDIA,¿En qué año nació Mike Mercedes?,6 de enero de 1936,Mike Mercedes nació en 1984.,0.0534636154770851,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
228,GPT,republica dominicana,fauna,DIFÍCIL,¿Por qué se encuentra amenazada Eleutherodactylus flavescens?,la pérdida de su hábitat natural,"Eleutherodactylus flavescens, conocido como el sapo de lluvia, se encuentra amenazado principalmente debido a la pérdida de hábitat, la contaminación, el cambio climático y enfermedades como la quitridiomicosis, que afecta a muchas especies de anfibios.",0.5145241618156433,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
229,GPT,republica dominicana,fauna,FÁCIL,¿Qué tipo de especie es Eleutherodactylus paralius?,una especie de rana de la familia Eleutherodactylidae,Eleutherodactylus paralius es una especie de rana.,0.8793403506278992,gpt,CORRECTA,v2_fixed_system_prompt,correcta,True,mode_of_3_runs
230,GPT,republica dominicana,fauna,INTERMEDIA,¿En qué año fue descrita Dolichorhinotermes dominicanus?,2000,Dolichorhinotermes dominicanus fue descrita en el año 2000.,0.2726786434650421,gpt,CORRECTA,v2_fixed_system_prompt,correcta,True,mode_of_3_runs
231,GPT,republica dominicana,flora,DIFÍCIL,¿Quién describió Bletia patula y en qué publicación se realizó?,fue descrito por William Jackson Hooker y publicado en Edinburgh New Philosophical Journal 21: 155. 1836,"Bletia patula fue descrita por el botánico francés Jean Baptiste Louis Claude Richard en la publicación ""Observations sur les Plantes de la Nouvelle Espagne"" en 1828.",0.4493573904037475,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
232,GPT,republica dominicana,flora,FÁCIL,¿Qué tipo de especie es Consolea picardae?,una especie de planta suculenta,Consolea picardae es una especie de cactus.,0.5725717544555664,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
233,GPT,republica dominicana,flora,INTERMEDIA,¿En qué clima prefiere crecer Brassia caudata?,clima caliente cada vez más cálido,"Brassia caudata prefiere un clima cálido y húmedo, con temperaturas entre 20 y 30 grados Celsius y alta humedad.",0.5083838701248169,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
234,GPT,republica dominicana,geography,DIFÍCIL,¿A quién honra el nombre del municipio de Castillo (Duarte) y qué hizo en relación con la República Dominicana?,"honra la memoria de Manuel María Castillo, quien conspiró contra la ocupación haitiana y organizó la adhesión a la nueva república.","El municipio de Castillo, en la provincia de Duarte, honra el nombre de Juan Pablo Duarte, quien es considerado el padre de la patria de la República Dominicana. Duarte fue un líder clave en la lucha por la independencia del país y promovió ideales de libertad y soberanía.",0.4651303589344024,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
235,GPT,republica dominicana,geography,FÁCIL,¿Qué tipo de lugar es la Bahía Escocesa?,una bahía grande,"La Bahía Escocesa es un área natural ubicada en la costa de Chile, conocida por su belleza escénica, playas y biodiversidad. Es un destino popular para el ecoturismo y actividades al aire libre.",0.3811494708061218,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
236,GPT,republica dominicana,geography,INTERMEDIA,¿En qué margen del río Ozama se ubica Los Mina?,la margen oriental del río Ozama,Los Mina se ubica en la margen derecha del río Ozama.,0.7603763341903687,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
237,GPT,republica dominicana,object,DIFÍCIL,¿Cómo se fijan las membranas al cuerpo de la tambora dominicana?,al cuerpo mediante aros,"Las membranas de la tambora dominicana se fijan al cuerpo mediante un sistema de aros y cuerdas. Se coloca una membrana en cada lado del cuerpo de la tambora y se asegura con aros que se aprietan con cuerdas, permitiendo ajustar la tensión de las membranas para obtener el sonido deseado.",0.436572790145874,gpt,CORRECTA,v2_fixed_system_prompt,correcta,True,mode_of_3_runs
238,GPT,republica dominicana,object,FÁCIL,¿Qué tipo de instrumento es la tambora dominicana?,un instrumento de percusión membranófono,La tambora dominicana es un instrumento de percusión.,0.4389431774616241,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
239,GPT,republica dominicana,object,INTERMEDIA,¿Qué tipo de membranas se utilizan en la tambora dominicana?,membranas de piel o cuero de chivo,"En la tambora dominicana se utilizan membranas de piel de animal, generalmente de cabra o oveja.",0.5729937553405762,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
240,GPT,uruguay,dish,DIFÍCIL,¿Qué actividades incluye la Fiesta Capital de la Uva y el Vino y qué apoyo recibe?,"incluye degustaciones, espectáculos artísticos y concursos gastronómicos; cuenta con el apoyo del Ministerio de Turismo de Uruguay y la Intendencia Departamental de Canelones.","La Fiesta Capital de la Uva y el Vino incluye actividades como catas de vino, exposiciones, conciertos, ferias gastronómicas y eventos culturales relacionados con la viticultura. Recibe apoyo del gobierno local y de instituciones relacionadas con el sector vitivinícola, así como de patrocinadores privados.",0.6199008822441101,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
241,GPT,uruguay,dish,FÁCIL,¿Qué es la escalera al cielo?,un cóctel uruguayo,"La ""escalera al cielo"" es una metáfora que se utiliza para describir un camino o proceso que lleva a la realización de sueños, aspiraciones o a un estado de trascendencia espiritual. También puede referirse a una canción famosa de la banda Led Zeppelin.",0.096760481595993,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
242,GPT,uruguay,dish,INTERMEDIA,¿Dónde se encuentra Eugenia stipitata en estado silvestre?,en la Amazonía Occidental y nor oriental,"Eugenia stipitata, también conocida como ""camu camu"", se encuentra en estado silvestre principalmente en la región amazónica de Perú, Brasil y Colombia.",0.3800947070121765,gpt,CORRECTA,v2_fixed_system_prompt,correcta,True,mode_of_3_runs
243,GPT,uruguay,fauna,DIFÍCIL,¿En qué países de Sudamérica se puede encontrar Holochilus brasiliensis y qué amenaza enfrenta?,"Argentina, Brasil y Uruguay; pérdida de hábitat","Holochilus brasiliensis se encuentra en Brasil, Paraguay y Argentina. Esta especie enfrenta amenazas como la pérdida de hábitat debido a la deforestación y la expansión agrícola.",0.5754512548446655,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
244,GPT,uruguay,fauna,FÁCIL,¿Qué es la Laguna de Rocha?,un extenso espejo de agua de escasa profundidad separado del mar por una barrera arenosa,"La Laguna de Rocha es un cuerpo de agua ubicado en el departamento de Rocha, Uruguay. Es un área protegida que alberga una rica biodiversidad, incluyendo diversas especies de aves y fauna acuática. Además, es un importante sitio para la conservación ambiental y el ecoturismo.",0.2505956590175628,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
245,GPT,uruguay,fauna,INTERMEDIA,¿Dónde se distribuye Rhinella schneideri?,"Se distribuye por Sudamérica: mitad norte de Argentina, Bolivia, Brasil, Paraguay y Uruguay.","Rhinella schneideri, conocida como la rana de ojos rojos o sapo de Schneider, se distribuye principalmente en América del Sur, en países como Brasil, Paraguay, Argentina y Uruguay. También se encuentra en algunas áreas de Bolivia.",0.6074149012565613,gpt,CORRECTA,v2_fixed_system_prompt,correcta,True,mode_of_3_runs
246,GPT,uruguay,flora,DIFÍCIL,¿Cuál es el hábitat de Sebastiania commersoniana y por qué se ha sugerido para la recuperación de ecosistemas?,el monte ribereño inundable; ha sido sugerido para la recuperación de ecosistemas,"Sebastiania commersoniana, también conocida como ""palo de Brasil"", se encuentra principalmente en hábitats de bosques tropicales y subtropicales, así como en áreas de vegetación secundaria. Se ha sugerido para la recuperación de ecosistemas debido a su capacidad para adaptarse a suelos degradados, su rápido crecimiento y su potencial para mejorar la biodiversidad y la estructura del ecosistema, además de contribuir a la restauración de la cobertura vegetal.",0.5761831402778625,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
247,GPT,uruguay,flora,FÁCIL,¿Qué tipo de especie es la azara uruguayensis?,una especie de árboles de la familia Salicaceae,La Azara uruguayensis es una especie de planta perteneciente a la familia Salicaceae.,0.5987471342086792,gpt,CORRECTA,v2_fixed_system_prompt,correcta,True,mode_of_3_runs
248,GPT,uruguay,flora,INTERMEDIA,¿Dónde se encuentra Sapium glandulosum?,"Es endémica de Brasil, Perú y Paraguay.","Sapium glandulosum se encuentra principalmente en regiones tropicales y subtropicales de América, especialmente en países como México y partes de América Central y del Caribe.",0.4667975902557373,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
249,GPT,uruguay,geography,DIFÍCIL,¿Cuáles son las fechas en que Fraile Muerto fue elevado a la categoría de villa y luego a ciudad?,fue elevado a la categoría de villa el 19 de diciembre de 1957 y a la categoría de ciudad el 20 de marzo de 2006,Fraile Muerto fue elevado a la categoría de villa el 15 de diciembre de 1944 y a ciudad el 24 de diciembre de 1961.,0.643733024597168,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
250,GPT,uruguay,geography,FÁCIL,¿Qué es el Arco de Salinas?,un monumento arquitectónico de la ciudad de Salinas,"El Arco de Salinas es una formación geológica ubicada en la costa de Salinas, Ecuador. Se trata de un arco natural de roca que se ha formado por la erosión del mar y es un atractivo turístico en la región.",0.5889672040939331,gpt,ALUCINACION,v2_fixed_system_prompt,alucinacion,True,mode_of_3_runs
251,GPT,uruguay,geography,INTERMEDIA,¿Cuándo fue iluminado el Faro de Cabo Polonio?,mayo de 1881,El Faro de Cabo Polonio fue iluminado por primera vez el 15 de diciembre de 1881.,0.4771109223365783,gpt,PARCIAL,v2_fixed_system_prompt,parcial,True,mode_of_3_runs
