Entity,Country,Category,Difficulty,Question,Answer
Amphilophus zaliosus,Nicaragua,fauna,DIFÍCIL,¿Qué característica distintiva tiene Amphilophus zaliosus en cuanto a su distribución geográfica?,es una especie de peces endémica de la laguna de Apoyo
Astyanax nicaraguensis,Nicaragua,fauna,FÁCIL,¿Qué tipo de especie es Astyanax nicaraguensis?,una especie de pez de la familia Characidae en el orden de los Characiformes
Oedipina koehleri,Nicaragua,fauna,INTERMEDIA,¿Dónde se encuentra Oedipina koehleri?,Se encuentra en el Parque Nacional Cerro Saslaya de la Región Autónoma del Atlántico Norte y en el departamento de Matagalpa.
Cordia alba,Nicaragua,flora,DIFÍCIL,¿Qué características distintivas tiene la madera de Cordia alba y en qué oficio se utiliza?,"La madera es de color anaranjado, densidad mediana a alta (0.47-0.7) y buena durabilidad; es usada en el oficio de la carpintería."
Clusia croatii,Nicaragua,flora,FÁCIL,¿Qué tipo de especie es Clusia croatii?,una especie de planta con flor en la familia de las clusiáceas
Clusia uvitana,Nicaragua,flora,INTERMEDIA,¿En qué tipo de hábitat es común encontrar Clusia uvitana?,los bosques húmedos
Desembocadura de Río Grande,Nicaragua,geography,DIFÍCIL,¿Con qué municipios limita Desembocadura de Río Grande al norte y al sur?,al norte con el municipio de Prinzapolka y al sur con los municipios de Laguna de Perlas y El Tortuguero
Pablo Ervin Schmitz Simon,Nicaragua,geography,FÁCIL,¿Quién es Pablo Ervin Schmitz Simon?,"Es un obispo católico, perteneciente a la Orden Franciscana de los Capuchinos."
Santo Tomás del Norte,Nicaragua,geography,INTERMEDIA,¿Con qué municipios limita Santo Tomás del Norte al norte y este?,Con los municipios de Cinco Pinos y San Pedro del Norte.
fiesta de los agüizotes,nicaragua,tradition,DIFÍCIL,¿Cuál es el significado cultural de la Fiesta de los Agüizotes en relación con la festividad religiosa en honor a San Jerónimo?,es parte de la festividad religiosa en honor a San Jerónimo
torovenado,nicaragua,tradition,FÁCIL,¿Qué es el Torovenado?,una comparsa popular satírica
Salvador Cardenal Argüello,Nicaragua,tradition,INTERMEDIA,"¿Qué propósito tenía Radio Güegüense, fundada por Salvador Cardenal Argüello?",Dar a conocer la música nicaragüense y la música clásica de los grandes maestros universales.
guacho de arroz,panamá,dish,DIFÍCIL,¿Qué ingredientes puede llevar el guacho de arroz además de arroz y caldo?,"guandú, ñame, yuca, culantro, verduras y alguna carne"
Hojaldra,Panamá,dish,FÁCIL,¿Qué es la hojaldra?,una fritura típica de países latinoamericanos como Colombia y Panamá
guacho de arroz,panamá,dish,INTERMEDIA,¿Qué ingredientes puede llevar el guacho de arroz?,guandú
Pseudosparna dimitrisi,Panamá,fauna,DIFÍCIL,¿Quiénes describieron la especie Pseudosparna dimitrisi y en qué año?,"Fue descrita por Nearns, Swift & Santos-Silva en 2023."
Ara ararauna,Panamá,fauna,FÁCIL,¿Qué tipo de ave es el Ara ararauna?,una especie de ave psitaciforme de la familia Psittacidae
Tmarus rubinus,Panamá,fauna,INTERMEDIA,¿Dónde se encuentra Tmarus rubinus?,En Panamá.
La Gloria (Bocas del Toro),Panamá,geography,DIFÍCIL,¿Cuál es la extensión de La Gloria (Bocas del Toro) y qué densidad de población tiene en 2023?,"Una extensión de 159 km² y una densidad de población de 20,4 habitantes por km²."
Los Milagros,Panamá,geography,FÁCIL,¿Qué tipo de lugar es Los Milagros?,corregimiento
Serranía de Majé,Panamá,geography,INTERMEDIA,¿Dónde se ubica la serranía de Majé?,"Al oeste de Panamá, extendiéndose sobre la provincia de Panamá hasta la zona que colinda con la provincia del Darién."
almirez,panamá,object,DIFÍCIL,¿Qué materiales son frecuentes en la fabricación de un almirez y en qué contextos culturales se utiliza?,Es frecuente que sea de latón o bronce fundido y se utiliza en el tamborito y la cumbia panameña de la localidad de Antón en la provincia de Coclé.
mejorana (instrumento musical),panamá,object,FÁCIL,¿Qué es la mejorana?,un instrumento musical de cuerda originario de Panamá
sombrero pintao,panamá,object,INTERMEDIA,¿En qué provincias de Panamá se confecciona el sombrero pintao?,las provincias centrales de Panamá
Festival Nacional del Manito,Panamá,tradition,DIFÍCIL,¿Qué ley declara al Festival Nacional del Manito como Fiesta Folclórica Nacional de la República de Panamá y en qué año se aprobó?,la Ley 53 en diciembre de 1999
Círio de Nazaré,panamá,tradition,FÁCIL,¿Qué es el Círio de Nazaré?,una fiesta religiosa católica
Tamborito,Panamá,tradition,INTERMEDIA,¿Quiénes participan en la interpretación del tamborito?,"Una voz principal (cantalante), el ""cajero"", otros tambores y un coro de mujeres."
Copetín (Argentina),Paraguay,dish,DIFÍCIL,¿Qué diferencia al copetín de la picada en términos de abundancia de ingredientes y horario de consumo?,"el copetín es mucho menos abundante en elementos que una picada y se consume a la tarde o a la ""media tarde"""
Torta frita,Paraguay,dish,FÁCIL,¿Qué es la torta frita?,Es un bocado típico de la gastronomía de Hispanoamérica.
sándwich mixto,paraguay,dish,INTERMEDIA,¿Cómo se suele servir el sándwich mixto?,tostado
Alstroemeria apertiflora,Paraguay,flora,DIFÍCIL,¿A qué tipo de hábitat está adaptada Alstroemeria apertiflora y en qué bioma crece principalmente?,"a los humedales del sur, sureste y centro-oeste de Brasil; principalmente en el bioma subtropical"
Discocactus hartmannii,Paraguay,flora,FÁCIL,¿Qué tipo de planta es Discocactus hartmannii?,una especie de planta suculenta
Cereus lanosus,Paraguay,flora,INTERMEDIA,¿Dónde se distribuye Cereus lanosus?,desde el centro y oeste de Brasil hasta Paraguay
Mata atlántica,Paraguay,geography,DIFÍCIL,¿Qué importancia tiene la mata atlántica para la población brasileña y qué porcentaje de esta población vive en su área de dominio?,"El 70% de la población brasileña vive en el área de dominio de la Mata Atlántica, que mantiene los nacientes y manantiales que abastecen a las ciudades y comunidades del interior."
República de Tucumán,Paraguay,geography,FÁCIL,¿Qué fue la República del Tucumán?,"Un estado de efímera existencia, de septiembre de 1820 a agosto de 1821."
Ricardo Brugada (Asunción),Paraguay,geography,INTERMEDIA,¿Dónde se ubica el barrio Ricardo Brugada?,"En la ciudad de Asunción, capital de Paraguay."
tacuapú,paraguay,object,DIFÍCIL,¿Qué simbolismo tiene el tacuapú en las ceremonias guaraníes y quiénes lo ejecutan?,está dotado de un claro simbolismo referente a la unión sexual y la fertilización y es ejecutable solo por las mujeres
asociación de artesanos de tobati,paraguay,object,FÁCIL,¿Qué agrupa la Asociación de Artesanos de Tobatí?,Artesanos del municipio.
rosa brítez,paraguay,object,INTERMEDIA,¿A qué edad comenzó Rosa Brítez a dedicarse al moldeado del barro?,desde los nueve años
Koki Ruiz,Paraguay,tradition,DIFÍCIL,¿Qué obra de gran tamaño elaboró Koki Ruiz para la misa principal durante la visita del papa Francisco a Paraguay?,un retablo de gran tamaño
GRES Beija-Flor,Paraguay,tradition,FÁCIL,¿Qué es el GRES Beija-Flor?,una escuela de samba brasileña del municipio de Nilópolis
Tumba del indio desconocido,Paraguay,tradition,INTERMEDIA,¿Quién escribió el epitafio que se encuentra en la Tumba del Indio Desconocido?,El poeta magallánico José Grimaldi Acotto.
aguadito de pollo,perú,dish,DIFÍCIL,"¿Por qué se le denomina ""levantamuertos"" al aguadito de pollo y qué relación tiene con su consumo?","porque su consumo suele ser de madrugada al final de alguna fiesta o celebración, y está ligado a un potencial teórico para aliviar los síntomas asociados con la resaca"
arroz zambito,perú,dish,FÁCIL,¿Qué es el arroz zambito?,un postre peruano típico de la gastronomía limeña
Barquillo,Perú,dish,INTERMEDIA,¿Qué forma reciben los barquillos en forma de cono?,cucuruchos
Cranioleuca weskei,Perú,fauna,DIFÍCIL,¿Qué diferencias morfológicas y de vocalización presenta el curutié de Vilcabamba en comparación con C. marcapatae?,la corona blanca y una marcante lista negra lateral a la corona
Phanaeus lecourti,Perú,fauna,FÁCIL,¿Qué tipo de especie es Phanaeus lecourti?,Es una especie de escarabajo.
Dendropsophus delarivai,Perú,fauna,INTERMEDIA,¿En qué país habita Dendropsophus delarivai?,Bolivia
Corryocactus serpens,Perú,flora,DIFÍCIL,¿Qué características distintivas presenta Corryocactus serpens y en qué tipo de hábitat crece?,presenta de 4 a 6 costillas obtusas y crece principalmente en biomas desérticos o de matorral seco
Samaipaticereus herrerae,Perú,flora,FÁCIL,¿Qué tipo de planta es Samaipaticereus herrerae?,"Es una especie de planta suculenta perteneciente al género Samaipaticereus, dentro de la familia Cactaceae."
Epidendrum secundum,Perú,flora,INTERMEDIA,¿Dónde se encuentra Epidendrum secundum?,el bosque montano de los Neotropicos
Chivay,Perú,geography,DIFÍCIL,¿Qué etnias habitan en Chivay y qué relación tienen con los pueblos antiguos de la región?,dos etnias
Parque nacional Otishi,Perú,geography,FÁCIL,¿Qué tipo de lugar es el parque nacional Otishi?,Parque nacional
Pomacanchi,Perú,geography,INTERMEDIA,¿En qué región de Perú se encuentra Pomacanchi?,Pomacanchi se encuentra en la región Cusco.
Leyendas sobre el origen del Imperio inca,Perú,tradition,DIFÍCIL,¿Qué relación existe entre la Leyenda de Manco Cápac y Mama Ocllo y la visión de la creación del Imperio de los Cápac Ayllu?,está ligada a la visión de la creación del Imperio de los Cápac Ayllu
Novalima,Perú,tradition,FÁCIL,¿Qué tipo de música fusiona la banda Novalima?,"Música afroperuana con electrónica, global beats y otros géneros contemporáneos."
Danzas del Perú,Perú,tradition,INTERMEDIA,¿Qué tipo de danzas son las que se ejecutan durante la fiesta de las chicharras carnavalescas?,danzas carnavalescas
The One (cerveza),República Dominicana,dish,DIFÍCIL,¿Qué características distintivas tiene la cerveza The One en comparación con otras cervezas dominicanas como Presidente y Bohemia?,"Es más suave al paladar y tiene un estilo de ""suave perfil sensorial""."
Presidente (cerveza),República Dominicana,dish,FÁCIL,¿Qué tipo de cerveza es Presidente?,Cerveza tipo Pilsener.
mike mercedes,república dominicana,dish,INTERMEDIA,¿En qué año nació Mike Mercedes?,6 de enero de 1936
Eleutherodactylus flavescens,República Dominicana,fauna,DIFÍCIL,¿Por qué se encuentra amenazada Eleutherodactylus flavescens?,la pérdida de su hábitat natural
Eleutherodactylus paralius,República Dominicana,fauna,FÁCIL,¿Qué tipo de especie es Eleutherodactylus paralius?,una especie de rana de la familia Eleutherodactylidae
Dolichorhinotermes dominicanus,República Dominicana,fauna,INTERMEDIA,¿En qué año fue descrita Dolichorhinotermes dominicanus?,2000
Bletia patula,República Dominicana,flora,DIFÍCIL,¿Quién describió Bletia patula y en qué publicación se realizó?,fue descrito por William Jackson Hooker y publicado en Edinburgh New Philosophical Journal 21: 155. 1836
Consolea picardae,República Dominicana,flora,FÁCIL,¿Qué tipo de especie es Consolea picardae?,una especie de planta suculenta
Brassia caudata,República Dominicana,flora,INTERMEDIA,¿En qué clima prefiere crecer Brassia caudata?,clima caliente cada vez más cálido
Castillo (Duarte),República Dominicana,geography,DIFÍCIL,¿A quién honra el nombre del municipio de Castillo (Duarte) y qué hizo en relación con la República Dominicana?,"honra la memoria de Manuel María Castillo, quien conspiró contra la ocupación haitiana y organizó la adhesión a la nueva república."
Bahía Escocesa,República Dominicana,geography,FÁCIL,¿Qué tipo de lugar es la Bahía Escocesa?,una bahía grande
Los Mina,República Dominicana,geography,INTERMEDIA,¿En qué margen del río Ozama se ubica Los Mina?,la margen oriental del río Ozama
tambora dominicana,república dominicana,object,DIFÍCIL,¿Cómo se fijan las membranas al cuerpo de la tambora dominicana?,al cuerpo mediante aros
tambora dominicana,república dominicana,object,FÁCIL,¿Qué tipo de instrumento es la tambora dominicana?,un instrumento de percusión membranófono
tambora dominicana,república dominicana,object,INTERMEDIA,¿Qué tipo de membranas se utilizan en la tambora dominicana?,membranas de piel o cuero de chivo
Fiesta Capital de la Uva y el Vino,Uruguay,dish,DIFÍCIL,¿Qué actividades incluye la Fiesta Capital de la Uva y el Vino y qué apoyo recibe?,"incluye degustaciones, espectáculos artísticos y concursos gastronómicos; cuenta con el apoyo del Ministerio de Turismo de Uruguay y la Intendencia Departamental de Canelones."
escalera al cielo (trago),uruguay,dish,FÁCIL,¿Qué es la escalera al cielo?,un cóctel uruguayo
eugenia stipitata,uruguay,dish,INTERMEDIA,¿Dónde se encuentra Eugenia stipitata en estado silvestre?,en la Amazonía Occidental y nor oriental
Holochilus brasiliensis,Uruguay,fauna,DIFÍCIL,¿En qué países de Sudamérica se puede encontrar Holochilus brasiliensis y qué amenaza enfrenta?,"Argentina, Brasil y Uruguay; pérdida de hábitat"
Laguna de Rocha (Uruguay),Uruguay,fauna,FÁCIL,¿Qué es la Laguna de Rocha?,un extenso espejo de agua de escasa profundidad separado del mar por una barrera arenosa
Rhinella schneideri,Uruguay,fauna,INTERMEDIA,¿Dónde se distribuye Rhinella schneideri?,"Se distribuye por Sudamérica: mitad norte de Argentina, Bolivia, Brasil, Paraguay y Uruguay."
sebastiania commersoniana,uruguay,flora,DIFÍCIL,¿Cuál es el hábitat de Sebastiania commersoniana y por qué se ha sugerido para la recuperación de ecosistemas?,el monte ribereño inundable; ha sido sugerido para la recuperación de ecosistemas
azara uruguayensis,uruguay,flora,FÁCIL,¿Qué tipo de especie es la azara uruguayensis?,una especie de árboles de la familia Salicaceae
Sapium glandulosum,Uruguay,flora,INTERMEDIA,¿Dónde se encuentra Sapium glandulosum?,"Es endémica de Brasil, Perú y Paraguay."
Fraile Muerto (Uruguay),Uruguay,geography,DIFÍCIL,¿Cuáles son las fechas en que Fraile Muerto fue elevado a la categoría de villa y luego a ciudad?,fue elevado a la categoría de villa el 19 de diciembre de 1957 y a la categoría de ciudad el 20 de marzo de 2006
Arco de Salinas,Uruguay,geography,FÁCIL,¿Qué es el Arco de Salinas?,un monumento arquitectónico de la ciudad de Salinas
Faro de Cabo Polonio,Uruguay,geography,INTERMEDIA,¿Cuándo fue iluminado el Faro de Cabo Polonio?,mayo de 1881
El Familiar,Uruguay,tradition,DIFÍCIL,¿Qué se dice que los propietarios de los ingenios azucareros deben hacer para mantener el poder y dinero que les otorga El Familiar?,Los propietarios de los ingenios azucareros deben sacrificar anualmente a un obrero.
rafael antognazza,uruguay,tradition,FÁCIL,¿Cuál es el nombre completo de Rafael Antognazza?,Pablo Rafael Antognazza Pérez
pilsen rock (uruguay),uruguay,tradition,INTERMEDIA,¿En qué año se organizó por primera vez el Pilsen Rock?,octubre de 2003
Bienmesabe (postre),Venezuela,dish,DIFÍCIL,¿Cuál es la relación entre el bienmesabe canario y la influencia de la gastronomía morisca?,"Bienmesabe es un postre popular en la cocina de las Islas Canarias, influenciado por la gastronomía morisca."
amargo de angostura,venezuela,dish,FÁCIL,¿Qué es el amargo de Angostura?,un ingrediente muy apreciado en la elaboración como bíter en cócteles
Antipasto,Venezuela,dish,INTERMEDIA,¿Qué tipo de alimentos puede incluir el antipasto?,especialidades más elaboradas del chef
Andersonoplatus laculata,Venezuela,fauna,DIFÍCIL,¿Dónde habita Andersonoplatus laculata y qué características físicas presenta?,"Habita en Venezuela y es brillante con pelos ampliamente dispersos, de color negro, con patas y antenas amarillentas."
Arremon phaeopleurus,Venezuela,fauna,FÁCIL,¿Qué tipo de especie es Arremon phaeopleurus?,una especie de ave paseriforme de la familia Passerellidae
Scinax danae,Venezuela,fauna,INTERMEDIA,¿Dónde se encuentra la ranita de Dana (Scinax danae)?,Habita en Venezuela y posiblemente en Guayana.
Caucagua,Venezuela,geography,DIFÍCIL,¿Qué nombre le dio el obispo Mariano Martí a Caucagua en 1784 y qué refleja esta denominación?,Nuestra Señora del Valle de la Santa Cruz de Caucagua; refleja la influencia religiosa en la configuración urbana del periodo.
Quebrada El Ávila,Venezuela,geography,FÁCIL,¿Qué es la Quebrada El Ávila?,Es un pequeño curso de agua de la ciudad de Caracas.
Santa María de Tiznados,Venezuela,geography,INTERMEDIA,¿En qué estado de Venezuela se encuentra Santa María de Tiznados?,En el estado Guárico.
kimberly dos ramos,venezuela,object,DIFÍCIL,¿Qué papel interpretó Kimberly Dos Ramos en la telenovela La Trepadora y en qué año comenzó su carrera actoral?,Eugenia Alcoy Del Casal; 2003
yoletti cabrera,venezuela,object,FÁCIL,¿Quién es Yoletti Cabrera?,una actriz y modelo venezolana
argenis rea,venezuela,object,INTERMEDIA,¿En qué serie es conocido Argenis Rea por su actuación?,La Banda
Bandolín tachirense,Venezuela,tradition,DIFÍCIL,¿Cuántas cuerdas posee el bandolín tachirense y cómo están distribuidas?,14 cuerdas distribuidas en 5 órdenes
Armando Molero,Venezuela,tradition,FÁCIL,¿Cuál es el nombre completo de Armando Molero?,Armando Segundo Molero
Scarlett Linares,Venezuela,tradition,INTERMEDIA,¿En qué año nació Scarlett Linares?,1969
